stop_id,stop_name,stop_lat,stop_lon,shop_related_count,hospital_related_count,school_related_count,target
405204,Pl. Starynkiewicza,52.226568,20.996387,26,46,14,1
405206,Pl. Starynkiewicza,52.227547,20.995284,26,46,14,1
408101,Na Bateryjce,52.213133,20.960807,3,6,17,0
408201,Al. Bohaterów Września,52.211254,20.960371,3,7,17,0
410601,Instalatorów,52.200351,20.949028,3,3,5,0
410602,Instalatorów,52.200552,20.948335,3,2,5,0
410603,Instalatorów,52.20054,20.94777,3,2,5,0
410701,Skorochód-Majewskiego,52.205066,20.973884,9,8,17,1
410801,Banacha,52.209911,20.980398,9,12,14,1
410802,Banacha,52.209977,20.980293,9,12,15,1
410803,Banacha,52.210189,20.98247,7,8,14,1
410804,Banacha,52.209772,20.981883,7,8,14,1
410805,Banacha,52.209815,20.981967,7,8,14,1
410806,Banacha,52.209854,20.981979,7,8,14,1
410807,Banacha,52.210395,20.984472,2,6,10,0
410902,Siemieńskiego,52.202292,20.97393,8,9,13,1
411201,Mołdawska,52.201854,20.979279,7,9,13,1
411202,Mołdawska,52.200269,20.978637,7,14,12,1
411301,Wiślicka,52.204008,20.975571,7,10,14,1
411302,Wiślicka,52.204898,20.976254,10,10,16,1
411601,Hala Kopińska,52.217204,20.978082,12,19,19,1
411602,Hala Kopińska,52.218043,20.976372,11,17,21,1
411801,Opaczewska,52.209905,20.970531,12,16,25,1
411804,Opaczewska,52.210535,20.969488,12,18,23,1
411852,Opaczewska,52.209321,20.969919,10,15,18,1
411901,Szczęśliwice,52.20808,20.963907,6,9,13,1
411902,Szczęśliwice,52.207974,20.963822,6,9,13,1
411903,Szczęśliwice,52.207886,20.963753,5,9,13,1
411904,Szczęśliwice,52.207794,20.96367,5,9,13,1
411905,Szczęśliwice,52.2077,20.963604,5,9,14,1
411907,Szczęśliwice,52.209078,20.963953,4,10,13,0
411959,Szczęśliwice,52.207963,20.965314,6,10,13,1
412001,Urbanistów,52.207347,20.968261,8,14,16,1
412101,Wawelska,52.216846,20.981885,11,16,17,1
412103,Wawelska,52.215975,20.980871,12,16,16,1
412104,Wawelska,52.216611,20.981362,11,15,16,1
412105,Wawelska,52.21596,20.982821,10,15,15,1
412106,Wawelska,52.216872,20.979869,11,16,17,1
412201,Al. Wielkopolski,52.216514,20.995427,0,0,8,0
412202,Al. Wielkopolski,52.216876,20.996292,0,0,8,0
412601,CH Reduta,52.211598,20.949379,8,4,4,0
412602,CH Reduta,52.211665,20.950239,8,4,4,0
413701,Hale Banacha,52.2086,20.974486,10,15,16,1
413702,Hale Banacha,52.208837,20.974627,9,16,16,1
414001,Niemcewicza,52.221266,20.983932,11,15,11,1
415201,Lindleya,52.22341,20.996509,14,31,13,1
415204,Lindleya,52.223382,20.99862,15,29,15,1
415301,NIK,52.218932,20.999097,2,4,13,0
415302,NIK,52.218971,20.998607,2,2,13,0
415403,Szczęśliwicka,52.212844,20.967357,5,14,26,1
415404,Szczęśliwicka,52.214961,20.969541,8,12,26,1
415452,Szczęśliwicka,52.213762,20.968958,7,17,26,1
415455,Szczęśliwicka,52.214753,20.969192,7,11,27,1
415456,Szczęśliwicka,52.213148,20.967789,6,15,26,1
415457,Szczęśliwicka,52.214259,20.967288,3,13,21,0
431001,Harfowa,52.201343,20.964091,7,6,13,1
431002,Harfowa,52.201696,20.964648,8,6,16,1
431101,Przy Parku,52.202001,20.95644,3,1,12,0
431102,Przy Parku,52.20205,20.956333,3,1,12,0
431201,Maszynowa,52.202811,20.949413,3,3,5,0
431202,Maszynowa,52.202866,20.949305,3,3,5,0
433801,Dobosza,52.211718,20.966379,3,14,22,0
433802,Dobosza,52.210195,20.965426,4,12,19,0
436401,Wschodu Słońca,52.200507,20.942505,5,3,0,0
436402,Wschodu Słońca,52.200352,20.940523,5,2,0,0
436901,Szybka,52.20051,20.945428,2,2,3,0
436902,Szybka,52.200776,20.944895,3,2,2,0
440151,Przemyska,52.211491,20.971953,13,17,31,1
440152,Przemyska,52.212109,20.972388,13,18,34,1
4900,Warszawa Zachodnia,52.220141,20.964975,3,4,8,0
4901,Warszawa Ochota,52.225818,20.990822,14,22,13,1
4913,Warszawa Aleje Jerozolimskie,52.206047,20.941004,1,3,1,0
500803,Elekcyjna,52.229663,20.951688,6,7,9,1
500804,Elekcyjna,52.229531,20.951155,7,8,9,1
500902,Reduta Wolska,52.226156,20.941395,9,11,17,1
500903,Reduta Wolska,52.226348,20.941856,10,10,15,1
500904,Reduta Wolska,52.2263,20.941064,9,9,16,1
500905,Reduta Wolska,52.227015,20.94241,7,11,14,1
500906,Reduta Wolska,52.227061,20.942736,7,11,13,1
504006,Rondo Daszyńskiego,52.229858,20.984867,21,26,12,1
504009,Rondo Daszyńskiego,52.229405,20.980452,15,19,11,1
5040M:E3,3,52.22980373156,20.983543396,18,22,11,1
5040M:E4,4,52.2297503,20.9824521,17,20,11,1
5040M:E5,5,52.2296189,20.9817775,15,19,11,1
504101,Karolkowa,52.229325,20.979822,12,18,11,1
504102,Karolkowa,52.229614,20.978972,12,20,12,1
504103,Karolkowa,52.229446,20.979465,12,19,11,1
504104,Karolkowa,52.229396,20.978812,12,21,10,1
504201,Szpital Wolski,52.228602,20.970592,7,13,10,1
504202,Szpital Wolski,52.228829,20.968369,4,13,10,0
504203,Szpital Wolski,52.22865,20.968788,4,12,10,0
504204,Szpital Wolski,52.228633,20.968009,4,13,11,0
504205,Szpital Wolski,52.228044,20.967384,3,10,11,0
504206,Szpital Wolski,52.228185,20.96753,3,9,11,0
504207,Szpital Wolski,52.229168,20.96959,5,13,12,1
504208,Szpital Wolski,52.229677,20.969537,5,17,14,1
504301,PKP Wola (Kasprzaka),52.227852,20.958139,6,7,11,1
504302,PKP Wola (Kasprzaka),52.228041,20.956087,8,9,11,1
504303,PKP Wola (Kasprzaka),52.228033,20.958584,7,7,11,1
504304,PKP Wola (Kasprzaka),52.228017,20.957851,7,7,11,1
504305,PKP Wola (Kasprzaka),52.22722,20.956982,6,6,11,1
504306,PKP Wola (Kasprzaka),52.228674,20.957286,8,8,11,1
504401,Ordona - WSA,52.227492,20.952709,9,11,11,1
504402,Ordona - WSA,52.227808,20.952579,9,11,11,1
504403,Ordona - WSA,52.227514,20.950997,10,13,12,1
504404,Ordona - WSA,52.227632,20.952223,9,11,13,1
504406,Ordona - WSA,52.226429,20.951095,10,14,11,1
508801,Sienna,52.229748,20.993715,24,45,11,1
509601,Parafialna,52.222919,20.958097,8,4,5,0
509602,Parafialna,52.22415,20.95826,8,5,7,1
509701,Armatnia,52.22056,20.95955,5,0,3,0
509702,Armatnia,52.22117,20.95968,6,0,3,0
511901,Brylowska,52.224766,20.969254,5,10,4,0
511902,Brylowska,52.22578,20.96917,3,9,6,0
512001,Kolejowa,52.223012,20.969226,4,8,3,0
512002,Kolejowa,52.222907,20.96932,4,9,2,0
512101,Dw. Zachodni (Tunelowa),52.221328,20.964367,3,4,2,0
520301,Gizów,52.224947,20.945854,8,11,14,1
520302,Gizów,52.224675,20.944829,7,11,13,1
520401,Goleszowska,52.22368,20.941862,11,12,16,1
520402,Goleszowska,52.223444,20.940879,9,12,16,1
5902,Warszawa Zachodnia (Peron 9),52.222057,20.961357,6,1,1,0
5903,Warszawa Wola,52.229784,20.957835,6,10,11,1
