stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
400313,Pl. Narutowicza,13,,52.218898,20.983553,0,,1,1,Pl. Narutowicza,Warszawa,pl. Narutowicza
400315,Pl. Narutowicza,15,,52.218107,20.983776,0,,1,1,Pl. Narutowicza,Warszawa,pl. Narutowicza
400316,Pl. Narutowicza,16,,52.217667,20.982605,0,,1,1,Pl. Narutowicza,Warszawa,Grójecka
400401,Och-Teatr,01,,52.214723,20.97996,0,,1,1,Och-Teatr,Warszawa,Grójecka
400402,Och-Teatr,02,,52.215146,20.979874,0,,1,1,Och-Teatr,Warszawa,Grójecka
400403,Och-Teatr,03,,52.214304,20.979401,0,,1,1,Och-Teatr,Warszawa,Grójecka
400404,Och-Teatr,04,,52.214603,20.979609,0,,1,1,Och-Teatr,Warszawa,Grójecka
400503,Bitwy Warszawskiej 1920 r.,03,,52.212011,20.97741,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Grójecka
400504,Bitwy Warszawskiej 1920 r.,04,,52.210316,20.975821,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Grójecka
400505,Bitwy Warszawskiej 1920 r.,05,,52.210586,20.977586,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Banacha
400507,Bitwy Warszawskiej 1920 r.,07,,52.210669,20.977827,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Banacha
400551,Bitwy Warszawskiej 1920 r.,51,,52.211971,20.977594,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Grójecka
400554,Bitwy Warszawskiej 1920 r.,54,,52.211844,20.976959,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Grójecka
400556,Bitwy Warszawskiej 1920 r.,56,,52.210809,20.97796,0,,1,1,Bitwy Warszawskiej 1920 r.,Warszawa,Banacha
400601,Dickensa,01,,52.205955,20.972424,0,,1,1,Dickensa,Warszawa,Grójecka
400602,Dickensa,02,,52.205434,20.971374,0,,1,1,Dickensa,Warszawa,Grójecka
400603,Dickensa,03,,52.205556,20.971812,0,,1,1,Dickensa,Warszawa,Grójecka
400604,Dickensa,04,,52.205978,20.972135,0,,1,1,Dickensa,Warszawa,Grójecka
